ETPAR 45°11'45.3"N 000°51'42.4"W
VAGNA 45°05'43.3"N 000°20'14.2"W
LIBRU 44°53'22.8"N 000°11'23.7"W
DIRAX 44°33'07.7"N 000°27'15.8"W
ROYAN 45°40'00.0"N 001°02'12.0"W
CNA   45°39'34.4"N 000°18'41.9"W
LMG   45°48'57.3"N 001°01'32.1"E
BD011 45°28'36.8"N 000°16'54.2"W
BD001 45°16'36.1"N 000°01'20.1"W
BD002 45°10'06.8"N 000°13'54.0"W
VELIN 44°58'48.0"N 000°09'20.0"E
MIRBA 44°43'26.0"N 000°19'37.0"E
VAVIX 44°16'40.0"N 000°41'38.7"W
MARRE 45°26'06.0"N 000°17'01.0"E 
CHALA 45°21'19.0"N 000°07'51.0"E


BD001 45°16'36.1"N 000°01'20.1"W
BD002 45°10'06.8"N 000°13'54.0"W
BD011 45°28'36.8"N 000°16'54.2"W
BD955 45°03'11.2"N 000°33'19.5"W
BD905 44°56'06.8"N 000°33'44.1"W
BD961 44°49'55.8"N 000°26'35.8"W
BD963 44°43'21.1"N 000°19'02.4"W
BD965 44°33'15.8"N 000°19'11.4"W
BD923 44°55'56.3"N 000°49'15.8"W
BD927 45°07'01.0"N 000°49'44.5"W
BD411 45°18'37.0"N 000°54'05.8"W
BD423 44°46'44.5"N 000°47'10.4"W
BD425 44°39'20.0"N 000°46'45.0"W
BD427 44°39'37.1"N 000°38'54.2"W
BD929 44°41'48.5"N 000°43'35.6"W
BD935 44°41'29.5"N 000°33'59.0"W
BD057 45°07'00.0"N 000°35'30.0"W
BD055 44°55'00.0"N 000°51'30.0"W
BD053 44°50'36.6"N 000°57'15.1"W
BD051 44°47'43.0"N 000°58'05.4"W
BDN05 44°45'14.6"N 000°55'05.7"W
BD058 44°53'41.7"N 000°21'31.9"W
BD056 44°42'00.7"N 000°36'54.6"W
BD054 44°39'05.2"N 000°40'44.6"W
BD052 44°39'37.4"N 000°47'18.4"W
BDS05 44°41'06.8"N 000°49'22.7"W
ID05Z 44°43'10.7"N 000°52'14.2"W
FD05Z 44°45'38.2"N 000°48'44.4"W
BD050 44°51'17.7"N 000°40'39.7"W
BD291 44°51'08.2"N 000°22'18.7"W
BD292 44°39'54.3"N 000°25'48.8"W
IBD29 44°45'50.1"N 000°24'32.4"W
FBD29 44°47'02.1"N 000°30'11.4"W
BD290 44°50'06.2"N 000°44'45.3"W
BD232 44°53'41.7"N 000°21'31.9"W
BD231 45°05'13.7"N 000°37'26.2"W
IBD23 44°59'16.1"N 000°29'13.6"W
FBD23 44°56'28.8"N 000°33'14.2"W
BD230 44°47'26.6"N 000°46'10.3"W
BD113 44°54'46.7"N 000°27'48.5"W
BD111 44°56'55.8"N 000°54'03.0"W
IBD11 44°52'25.6"N 000°55'53.8"W
FBD11 44°51'18.5"N 000°50'31.1"W
BD110 44°49'19.0"N 000°41'00.3"W
BD112 44°41'50.0"N 000°43'17.0"W
BD114 44°29'40.0"N 000°41'22.0"W
BD05R 44°59'00.8"N 000°46'10.0"W
BD05S 44°52'57.6"N 000°51'07.5"W
BD05B 44°48'41.0"N 000°52'31.1"W
BD05C 44°46'37.2"N 000°47'20.2"W
BD05D 44°54'45.9"N 000°39'50.1"W
ID05Y 44°52'57.6"N 000°51'07.5"W
FD05Y 44°49'52.9"N 000°52'07.7"W
FD05A 44°49'52.9"N 000°52'07.7"W
CD051 44°48'11.2"N 000°49'30.4"W
CD052 44°53'26.1"N 000°43'37.1"W
DEGOL 43°46'50.0"N 002°51'07.9"E
NARAK 44°17'43.0"N 001°44'56.0"E
OBLOC 44°40'36.5"N 000°09'10.5"W
SECHE 44°26'19.0"N 000°30'55.0"E
SOVET 44°08'20.1"N 001°46'51.1"E
ROVFU 45°08'51.0"N 000°33'00.0"W
